data	mut	pop	len	ind	ploidy	rep	method	rf	time	core
M201	5.00E-08	1.00E+05	5.00E+06	1	1	1	CASTER-site	2	519.238	32
M201	5.00E-08	1.00E+05	5.00E+06	1	1	2	CASTER-site	1	501.124	32
M201	5.00E-08	1.00E+05	5.00E+06	1	1	3	CASTER-site	5	517.816	32
M201	5.00E-08	1.00E+05	5.00E+06	1	1	4	CASTER-site	3	448.454	32
M201	5.00E-08	1.00E+05	5.00E+06	1	1	5	CASTER-site	1	737.048	32
M201	5.00E-08	1.00E+05	5.00E+06	1	1	6	CASTER-site	4	651.634	32
M201	5.00E-08	1.00E+05	5.00E+06	1	1	7	CASTER-site	0	693.019	32
M201	5.00E-08	1.00E+05	5.00E+06	1	1	8	CASTER-site	3	454.486	32
M201	5.00E-08	1.00E+05	5.00E+06	1	1	9	CASTER-site	1	420.433	32
M201	5.00E-08	1.00E+05	5.00E+06	1	1	10	CASTER-site	3	607.291	32
M201	5.00E-08	1.00E+05	5.00E+06	1	1	11	CASTER-site	2	502.831	32
M201	5.00E-08	1.00E+05	5.00E+06	1	1	12	CASTER-site	1	548.581	32
M201	5.00E-08	1.00E+05	5.00E+06	1	1	13	CASTER-site	3	440.34	32
M201	5.00E-08	1.00E+05	5.00E+06	1	1	14	CASTER-site	1	567.859	32
M201	5.00E-08	1.00E+05	5.00E+06	1	1	15	CASTER-site	0	561.284	32
M201	5.00E-08	1.00E+05	5.00E+06	1	1	16	CASTER-site	0	510.332	32
M201	5.00E-08	1.00E+05	5.00E+06	1	1	17	CASTER-site	1	630.116	32
M201	5.00E-08	1.00E+05	5.00E+06	1	1	18	CASTER-site	6	513.65	32
M201	5.00E-08	1.00E+05	5.00E+06	1	1	19	CASTER-site	0	533.177	32
M201	5.00E-08	1.00E+05	5.00E+06	1	1	20	CASTER-site	0	460.714	32
M201	5.00E-08	1.00E+05	5.00E+06	1	1	21	CASTER-site	1	475.404	32
M201	5.00E-08	1.00E+05	5.00E+06	1	1	22	CASTER-site	0	485.849	32
M201	5.00E-08	1.00E+05	5.00E+06	1	1	23	CASTER-site	5	463.632	32
M201	5.00E-08	1.00E+05	5.00E+06	1	1	24	CASTER-site	1	360.457	32
M201	5.00E-08	1.00E+05	5.00E+06	1	1	25	CASTER-site	2	482.065	32
M201	5.00E-08	1.00E+05	5.00E+06	1	1	26	CASTER-site	2	581.519	32
M201	5.00E-08	1.00E+05	5.00E+06	1	1	27	CASTER-site	1	276.44	32
M201	5.00E-08	1.00E+05	5.00E+06	1	1	28	CASTER-site	0	531.528	32
M201	5.00E-08	1.00E+05	5.00E+06	1	1	29	CASTER-site	0	490.523	32
M201	5.00E-08	1.00E+05	5.00E+06	1	1	30	CASTER-site	2	481.174	32
M201	5.00E-08	1.00E+05	5.00E+06	1	1	31	CASTER-site	0	509.347	32
M201	5.00E-08	1.00E+05	5.00E+06	1	1	32	CASTER-site	0	589.465	32
M201	5.00E-08	1.00E+05	5.00E+06	1	1	33	CASTER-site	4	507.81	32
M201	5.00E-08	1.00E+05	5.00E+06	1	1	34	CASTER-site	2	574.231	32
M201	5.00E-08	1.00E+05	5.00E+06	1	1	35	CASTER-site	3	572.385	32
M201	5.00E-08	1.00E+05	5.00E+06	1	1	36	CASTER-site	1	544.301	32
M201	5.00E-08	1.00E+05	5.00E+06	1	1	37	CASTER-site	1	390.794	32
M201	5.00E-08	1.00E+05	5.00E+06	1	1	38	CASTER-site	2	644.756	32
M201	5.00E-08	1.00E+05	5.00E+06	1	1	39	CASTER-site	1	525.332	32
M201	5.00E-08	1.00E+05	5.00E+06	1	1	40	CASTER-site	1	565.085	32
M201	5.00E-08	1.00E+05	5.00E+06	1	1	41	CASTER-site	1	495.408	32
M201	5.00E-08	1.00E+05	5.00E+06	1	1	42	CASTER-site	1	438.771	32
M201	5.00E-08	1.00E+05	5.00E+06	1	1	43	CASTER-site	3	485.503	32
M201	5.00E-08	1.00E+05	5.00E+06	1	1	44	CASTER-site	2	309.645	32
M201	5.00E-08	1.00E+05	5.00E+06	1	1	45	CASTER-site	0	382.542	32
M201	5.00E-08	1.00E+05	5.00E+06	1	1	46	CASTER-site	1	544.15	32
M201	5.00E-08	1.00E+05	5.00E+06	1	1	47	CASTER-site	2	495.597	32
M201	5.00E-08	1.00E+05	5.00E+06	1	1	48	CASTER-site	1	501.381	32
M201	5.00E-08	1.00E+05	5.00E+06	1	1	49	CASTER-site	1	551.63	32
M201	5.00E-08	1.00E+05	5.00E+06	1	1	50	CASTER-site	5	309.872	32
M201	5.00E-08	1.00E+05	5.00E+06	1	1	1	RAxML-ng	2	14345.448	64
M201	5.00E-08	1.00E+05	5.00E+06	1	1	2	RAxML-ng	2	10441.077	64
M201	5.00E-08	1.00E+05	5.00E+06	1	1	3	RAxML-ng	5	16551.56	64
M201	5.00E-08	1.00E+05	5.00E+06	1	1	4	RAxML-ng	4	11755.519	64
M201	5.00E-08	1.00E+05	5.00E+06	1	1	5	RAxML-ng	2	19984.282	64
M201	5.00E-08	1.00E+05	5.00E+06	1	1	6	RAxML-ng	6	21001.532	64
M201	5.00E-08	1.00E+05	5.00E+06	1	1	7	RAxML-ng	3	23205.754	64
M201	5.00E-08	1.00E+05	5.00E+06	1	1	8	RAxML-ng	3	15931.537	64
M201	5.00E-08	1.00E+05	5.00E+06	1	1	9	RAxML-ng	3	14756.258	64
