case	mut	top	len	rep	method	rf
hard	2X	AB|CD	1	1	CASTER-pair	0
hard	2X	AB|CD	1	2	CASTER-pair	0
hard	2X	AB|CD	1	3	CASTER-pair	1
hard	2X	AB|CD	1	4	CASTER-pair	0
hard	2X	AB|CD	1	5	CASTER-pair	0
hard	2X	AB|CD	1	6	CASTER-pair	0
hard	2X	AB|CD	1	7	CASTER-pair	0
hard	2X	AB|CD	1	8	CASTER-pair	0
hard	2X	AB|CD	1	9	CASTER-pair	0
hard	2X	AB|CD	1	10	CASTER-pair	1
hard	2X	AB|CD	1	11	CASTER-pair	0
hard	2X	AB|CD	1	12	CASTER-pair	0
hard	2X	AB|CD	1	13	CASTER-pair	1
hard	2X	AB|CD	1	14	CASTER-pair	0
hard	2X	AB|CD	1	15	CASTER-pair	0
hard	2X	AB|CD	1	16	CASTER-pair	0
hard	2X	AB|CD	1	17	CASTER-pair	0
hard	2X	AB|CD	1	18	CASTER-pair	0
hard	2X	AB|CD	1	19	CASTER-pair	0
hard	2X	AB|CD	1	20	CASTER-pair	1
hard	2X	AB|CD	1	21	CASTER-pair	1
hard	2X	AB|CD	1	22	CASTER-pair	1
hard	2X	AB|CD	1	23	CASTER-pair	0
hard	2X	AB|CD	1	24	CASTER-pair	1
hard	2X	AB|CD	1	25	CASTER-pair	1
hard	2X	AB|CD	1	26	CASTER-pair	0
hard	2X	AB|CD	1	27	CASTER-pair	0
hard	2X	AB|CD	1	28	CASTER-pair	0
hard	2X	AB|CD	1	29	CASTER-pair	0
hard	2X	AB|CD	1	30	CASTER-pair	1
hard	2X	AB|CD	1	31	CASTER-pair	0
hard	2X	AB|CD	1	32	CASTER-pair	1
hard	2X	AB|CD	1	33	CASTER-pair	0
hard	2X	AB|CD	1	34	CASTER-pair	0
hard	2X	AB|CD	1	35	CASTER-pair	1
hard	2X	AB|CD	1	36	CASTER-pair	0
hard	2X	AB|CD	1	37	CASTER-pair	1
hard	2X	AB|CD	1	38	CASTER-pair	0
hard	2X	AB|CD	1	39	CASTER-pair	1
hard	2X	AB|CD	1	40	CASTER-pair	1
hard	2X	AB|CD	1	41	CASTER-pair	0
hard	2X	AB|CD	1	42	CASTER-pair	0
hard	2X	AB|CD	1	43	CASTER-pair	1
hard	2X	AB|CD	1	44	CASTER-pair	0
hard	2X	AB|CD	1	45	CASTER-pair	1
hard	2X	AB|CD	1	46	CASTER-pair	0
hard	2X	AB|CD	1	47	CASTER-pair	1
hard	2X	AB|CD	1	48	CASTER-pair	0
hard	2X	AB|CD	1	49	CASTER-pair	1
